Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
IDROCOLONTERAPIA,NTID14,Oltre all'acqua possibile miscelare un farmaco nella pratica dell'Idrocolonterapia?,Si ma solo se il farmaco è antibiotico,Si ma solo se il farmaco è antinfiammatorio,Si in simbiosi con antibiotici e antinfiammatori,Nessuna delle tre risposte,Nessuna delle tre risposte
IDROCOLONTERAPIA,NTID15,Per la preparazione all'Idrocolonterapia si usa,Magnesio Pidolato,Magnesio Gluconato,Magnesio Aspartato,Magnesio Citrato,Magnesio Citrato
IDROCOLONTERAPIA,NTID16,Quali sono i benefici dell'Idrocolonterapia?,Potenziamento del sistema immunitario,Potenziamento della massa muscolare,Potenziamento dell'udito,Potenziamento della vista,Potenziamento del sistema immunitario
IDROCOLONTERAPIA,NTID17,Quanti litri di acqua si somministrano durante una prestazione di Idrocolonterapia di circa 45 minuti?,Circa 5 (Cinque) litri,Circa 10 (Dieci) litri,Circa 40 (Quaranta) litri,Circa 80 (Ottanta) litri,Circa 40 (Quaranta) litri
IDROCOLONTERAPIA,NTID18,Se un paziente soffre di emorroidi è possibile effettuare l'Idrocolonterapia?,Si,No,Si ma solo se sono emorroidi esterne,Si ma solo se le emorroidi non sono in fase acuta,Si ma solo se le emorroidi non sono in fase acuta
IDROCOLONTERAPIA,NTID19,Un ciclo di Idrocolonterapia può risultare utile nella cura della psoriasi?,Si,No,Solo se è abbinato a Cortisone,Solo se abbinato a Paracetamolo,Si
IDROCOLONTERAPIA,NTID20,Una persona considerata stitica se defeca dopo,8 ore,12 ore,24 ore,36 ore,36 ore
MASSAGGIO CONNETTIVALE,NTMC1,Chi è la ideatrice del massaggio connettivale?,Ida Rolf,Eunice Ingham,Elisabeth Dicke,,Elisabeth Dicke
MASSAGGIO CONNETTIVALE,NTMC2,Con il massaggio connettivale si stimola il corpo,Nel segmento colpito dal male,In modo violento,In fase acuta,Nessuna delle precedenti,Nessuna delle precedenti
MASSAGGIO CONNETTIVALE,NTMC3,Il massaggio connettivale è un massaggio,Indicato in ogni terapia,Un trattamento sintomatico,Nessuna delle precedenti,,Un trattamento sintomatico
MASSAGGIO CONNETTIVALE,NTMC4,Il massaggio connettivale inizia sempre,Con la piccola preparazione,Nella parte dorsale,Stimolando gli arti inferiori,,Con la piccola preparazione
MASSAGGIO CONNETTIVALE,NTMC5,Il massaggio connettivale rappresenta,Una tecnica di massaggio riflesso,Una tecnica per un ottenere un equilibrio funzionale,Una tecnica superficiale e poco utile,,Una tecnica di massaggio riflesso
MASSAGGIO CONNETTIVALE,NTMC6,Il massaggio connettivale si basa principalmente su manualità,Di trazione con le dita o con la mano intera,Di rilassamento,Di sfioramento leggero,,Di trazione con le dita o con la mano intera
MASSAGGIO CONNETTIVALE,NTMC7,Il massaggio connettivale stimola,La cute,Il connettivo,Nessuna delle precedenti,,Il connettivo
MASSAGGIO CONNETTIVALE,NTMC8,La colonna vertebrale nel massaggio connettivale,Non viene mai stimolata,Si stimola solo nella zona lombosacrale,Nessuna delle precedenti,,Nessuna delle precedenti
MASSAGGIO CONNETTIVALE,NTMC9,La piccola preparazione,È solo dorsale,È solo ventrale,È dorsale e ventrale,,È dorsale e ventrale
MASSAGGIO CONNETTIVALE,NTMC10,La preparazione di base influenza il sistema nervoso,Ortosimpatico,Parasimpatico,Solo uno dei due a seconda della situazione del paziente,,Parasimpatico
MASSAGGIO CONNETTIVALE,NTMC11,Le trazioni accessorie,Sono manualità aggiuntive alle manualità di base,Trazioni da eseguire solo in casi specifici e indicati,Manualità da eseguire sempre in base al distretto corporeo interessato,,Sono manualità aggiuntive alle manualità di base
MASSAGGIO CONNETTIVALE,NTMC12,Lo stimolo deve essere applicato,Lontano dalle zone ammalate,Solo su alcuni strati tissutali,In modo standardizzato per tutti i pazienti,,Lontano dalle zone ammalate
MASSAGGIO CONNETTIVALE,NTMC13,Per dermatomo si intende,Parte infiammata della cute,Territorio di innervazione del nervo spinale nella cute e nel sottocute,Nessuna delle precedenti,,Territorio di innervazione del nervo spinale nella cute e nel sottocute
MASSAGGIO CONNETTIVALE,NTMC14,Per enterotomo si intende,Uno dei tre foglietti embrionali,Territorio di innervazione del nervo spinale negli organi interni,Entrambe le precedenti,,Territorio di innervazione del nervo spinale negli organi interni
MASSAGGIO CONNETTIVALE,NTMC15,Per miotomo si intende,Distretto corporeo muscolare,Territorio di innervazione del nervo spinale nella muscolatura scheletrica,Nessuna delle precedenti,,Territorio di innervazione del nervo spinale nella muscolatura scheletrica
MTC E DIETETICA CINESE,NTCI1,Come viene chiamata la MTC usata prima della Repubblica?,Medicina tradizionale cinese classica,Medicina cinese classica,Medicina contemporanea,Medicina tradizionale contemporanea,Medicina cinese classica
MTC E DIETETICA CINESE,NTCI2,Con quale dinastia si consolida il modello interpretativo nuovo dell'uso della teoria dei 5 movimenti?,La dinastia Han,La dinastia Song,La dinastia Ming,Nessuna risposta è corretta,La dinastia Han
MTC E DIETETICA CINESE,NTCI3,Cos'è lo Shen?,È lo spirito divino che scende sull'uomo e nell'uomo fino a farne parte,È un canale dove scorre energia,Entrambe le risposte sono valide,Nessuna risposta è corretta,È lo spirito divino che scende sull'uomo e nell'uomo fino a farne parte
MTC E DIETETICA CINESE,NTCI4,Cosa rappresentano i 9 Palazzi,Le nove condizioni esperienziali dell'esistenza,Le nove emozioni associate ai 5 movimenti,Entrambe le risposte sono valide,Nessuna risposta è corretta,Le nove condizioni esperienziali dell'esistenza
MTC E DIETETICA CINESE,NTCI5,Definizione di Tao,È la via il cammino,È il sapere efficace la capacità di cambiare,Entrambe le risposte sono valide,Nessuna risposta è corretta,Entrambe le risposte sono valide
MTC E DIETETICA CINESE,NTCI6,Dove risiede il Po (anima corporale),Rene,Polmone,Milza,Cuore,Polmone
MTC E DIETETICA CINESE,NTCI7,Dove risiede lo Hun (anima eterica),Cuore,Polmone,Fegato,Milza,Fegato
MTC E DIETETICA CINESE,NTCI8,Dove risiede lo Yi (pensiero razionale),Polmone,Rene,Milza,Fegato,Milza
MTC E DIETETICA CINESE,NTCI9,Dove risiede lo Zhi (volontà),Fegato,Rene,Cuore,Polmone,Rene
MTC E DIETETICA CINESE,NTCI10,Gli organi per la MTC sono,Yin,Yang,Nessuna delle precedenti,Tutte le precedenti,Yin
MTC E DIETETICA CINESE,NTCI11,I visceri per la MTC sono,Yang,Yin,Entrambe le risposte sono corrette,Nessuna risposta è corretta,Yang
MTC E DIETETICA CINESE,NTCI12,Il cielo anteriore,Rappresenta la nostra unicità fin dal concepimento,È un dono che riceviamo alla nascita,Entrambe le risposte sono corrette,Nessuna risposta è corretta,Entrambe le risposte sono corrette
MTC E DIETETICA CINESE,NTCI13,Il cielo posteriore,È un'energia acquisita,Energia che l'uomo rinnova quotidianamente fin dal momento della nascita,Entrambe le risposte sono corrette,Nessuna risposta è corretta,Entrambe le risposte sono corrette
MTC E DIETETICA CINESE,NTCI14,Il Confucianesimo è finalizzato,Alla politica,Alla persona nobile,È fortemente gerarchizzato,Tutte le precedenti,Tutte le precedenti
MTC E DIETETICA CINESE,NTCI15,Il pensiero cinese si divide tra quello,Taoismo e confucianesimo,Taoismo dinastie,Taoismo confucianesimo e dinastie,Nessuna risposta è corretta,Taoismo e confucianesimo
MTC E DIETETICA CINESE,NTCI16,Il sistema dei meridiani (Jing Luo) è,Un vero e proprio intreccio,La rete che anima l'organismo,L'insieme dei percorsi energetici,Sono tutte corrette,Sono tutte corrette
MTC E DIETETICA CINESE,NTCI17,La medicina cinese ha avuto origine dal,1976,1893,1943,1942,1943
MTC E DIETETICA CINESE,NTCI18,Le 5 virtù confuciane,Benevolenza integrità affidabilità rettitudine conoscenza,Rettitudine conoscenza consapevolezza affidabilità sostenibilità,Nessuna delle precedenti,Tutte le precedenti,Benevolenza integrità affidabilità rettitudine conoscenza
MTC E DIETETICA CINESE,NTCI19,Le scuole in comune ai due pensieri filosofici sono,Scuola dei mutamenti,Scuola yin-yang,Scuola dei mutamenti cinque movimenti,Tutte le precedenti,Tutte le precedenti
MTC E DIETETICA CINESE,NTCI20,Lo yin e lo yang indicano,Due sostanze o due entità,Due entità opposte e complementari secondo cui si esprime la realtà,Entrambe sono errate,Tutte le precedenti,Due entità opposte e complementari secondo cui si esprime la realtà
MTC E DIETETICA CINESE,NTCI21,Qual è la scuola che si occupa dello studio di interpretazione dei numeri?,Daoyin,Artimologia,Daode,Nessuna risposta è corretta,Artimologia
MTC E DIETETICA CINESE,NTCI22,Quali energie vengono indicate come i 3 tesori?,Jing Qi e Shen,Yin Qi e Shen,Jing Yang e Shen,Yang Shen e Qi,Jing Qi e Shen
MTC E DIETETICA CINESE,NTCI23,Quali sono le leggi che coordinano i 5 movimenti?,Legge di Generazione,Legge di Controllo,Entrambe,Nessuna,Entrambe
MTC E DIETETICA CINESE,NTCI24,Quanti Shen si conoscono?,6,5,10,4,5
MTC E DIETETICA CINESE,NTCI25,Storia della Cina,Periodo antico e moderno,Periodo antico periodo imperiale e storia moderna,Periodo antico e imperiale,Nessuna risposta è corretta,Periodo antico periodo imperiale e storia moderna
PRIMO SOCCORSO,NTPS1,Cosa si intende per ferita,Soluzione di continuità di un osso,Soluzione di continuità della cute,Soluzione di continuità di un'articolazione,,Soluzione di continuità della cute
PRIMO SOCCORSO,NTPS2,I sintomi tipici di un infarto miocardico acuto sono (indicare la risposta più completa),Dolore toracico irradiato all'arto superiore sinistro accompagnato di dispnea sudorazione algida pallore cutaneo e sensazione di morte imminente,Solo dolore toracico,Dolore toracico senza irradiazione ma con dispnea,,Dolore toracico irradiato all'arto superiore sinistro accompagnato di dispnea sudorazione algida pallore cutaneo e sensazione di morte imminente
PRIMO SOCCORSO,NTPS3,Il numero per la chiamata d'emergenza sanitaria è,116,Solo ed esclusivamente 112 in tutta Italia,112 o 118 a seconda dello stato di attivazione del numero unico da parte delle regioni,,112 o 118 a seconda dello stato di attivazione del numero unico da parte delle regioni
PRIMO SOCCORSO,NTPS4,Il primo soccorso può essere prestato da,Chiunque si trovi davanti ad un infortunato o ad una persona che sta male,Solo da personale sanitario,Solo da personale sanitario e in pronto soccorso,,Chiunque si trovi davanti ad un infortunato o ad una persona che sta male
PRIMO SOCCORSO,NTPS5,In caso di emorragia esterna qual è il comportamento più indicato,Mettere un cerotto sulla parte,Adottare opportune misure di protezione da contatto con sangue e tamponare la parte,Mettere del cotone affinché assorba il sangue che sta fuoriuscendo,,Adottare opportune misure di protezione da contatto con sangue e tamponare la parte
PRIMO SOCCORSO,NTPS6,In caso di frattura esposta è necessario,Disinfettare il moncone osseo esposto,Immobilizzare l'arto e coprire il moncone esposto,Lavare la zona con acqua e sapone,,Immobilizzare l'arto e coprire il moncone esposto
PRIMO SOCCORSO,NTPS7,In caso di rianimazione cardiopolmonare in un adulto qual è il giusto rapporto tra compressioni toraciche e insufflazioni,55,155,302,,302
PRIMO SOCCORSO,NTPS8,In caso di svenimento in assenza di traumatismi come si deve posizionare la persona,Far sedere la persona e svestirla,Caricarla sulle spalle e portarla nel letto più vicino,Far stendere la persona e sollevarle gli arti inferiori,,Far stendere la persona e sollevarle gli arti inferiori
PRIMO SOCCORSO,NTPS9,L'acronico P.A.S. significa,Proteggi avverti e soccorri,Partecipa avverti e soccorri,Proteggi avvicinati e sostieni,,Proteggi avverti e soccorri
PRIMO SOCCORSO,NTPS10,L'emorragia può essere,Solo arteriosa,Solo venosa,Sia venosa che arteriosa,,Sia venosa che arteriosa
PRIMO SOCCORSO,NTPS11,La finalità del Basic Life Support (BLS) è,Far ripartire il cuore,Mantenere la perfusione cerebrale durante l'arresto cardiaco,Far respirare la persona,,Mantenere la perfusione cerebrale durante l'arresto cardiaco
PRIMO SOCCORSO,NTPS12,La manovra di Heimlich è utile per,Disostruire le vie aeree da un corpo estraneo,Favorire il ritorno venoso in caso di shock,Valutare l'estensione di un'ustione,,Disostruire le vie aeree da un corpo estraneo
PRIMO SOCCORSO,NTPS13,Oltre alla protezione sia dell'infortunato che del soccorritore quale tra le seguenti è la prima misura da adottare in caso di ustione,Spalmare crema emolliente,Raffreddare la parte colpita,Mettere cotone e ghiaccio sulla parte colpita,,Raffreddare la parte colpita
PRIMO SOCCORSO,NTPS14,Quale tra queste NON è una responsabilità del primo soccorritore,Allertare i soccorsi,Proteggersi da eventuali rischi,Fare diagnosi,,Fare diagnosi
PRIMO SOCCORSO,NTPS15,Un paziente che si presenta a terra incosciente rigidità articolare movimenti tonico-clonici degli arti potrebbe verosimilmente avere,Una crisi asmatica,Uno stato d'ansia generalizzato,Una crisi convulsiva,,Una crisi convulsiva
PSICOLOGIA,NTPC1,Concetto di percezione del Campo Personale,una zona nell'ambiente dove viviamo che non vogliamo condividere con altre persone e che il cliente non vorrà condividere con voi,un'area relegata ai ricordi d'infanzia che come MCB non devi assolutamente toccare,un'area prossimale extracorporea che contiene e veicola informazioni e percezioni personali di cui il professionista nella relazione di aiuto deve divenire consapevole,,un'area prossimale extracorporea che contiene e veicola informazioni e percezioni personali di cui il professionista nella relazione di aiuto deve divenire consapevole
PSICOLOGIA,NTPC2,Cosa si intende con Corazze Muscolo Affettive (o segmenti corporei?),che il carattere è registrato anche nel corpo con tutti i suoi aspetti e memorie e va posta grande attenzione lavorando su pazienti attraverso manovre e tocchi corporei.,che ogni cliente ha tanti segmenti muscolari diversi che bisogna conoscere e memorizzare menadito,che non possiamo osservare il carattere del cliente perché si annulla nel corpo,,che il carattere è registrato anche nel corpo con tutti i suoi aspetti e memorie e va posta grande attenzione lavorando su pazienti attraverso manovre e tocchi corporei.
PSICOLOGIA,NTPC3,Cosa si intende con il termine AUTOSVILUPPO nell'ambito della Psicologia Cosciente OM dello Sviluppo Personale?,Che lo sviluppo umano è automatico e non dobbiamo prendercene cura,Che in età adulta la responsabilità dello sviluppo non è piu' demandata all'ambiente e ad altre figure ma è personale ed è una scelta di consapevolezza,Che nei primi anni di vita lo sviluppo è naturale e avviene da se',,Che in età adulta la responsabilità dello sviluppo non è piu' demandata all'ambiente e ad altre figure ma è personale ed è una scelta di consapevolezza
PSICOLOGIA,NTPC4,Gli Strati dell'IO nel Modello I.B.P. di Rosemberg,Se' Super IO Inconscio,Conscio Inconscio Superconscio,Mentale Difensivo Emotivo (Nucleo),,Mentale Difensivo Emotivo (Nucleo)
PSICOLOGIA,NTPC5,I tre principi base della teoria Polivagale,Primario Secondario Neutro,Gerarchia Neurocezione Coregolazione,Mente Pensiero Consapevolezza,,Gerarchia Neurocezione Coregolazione
PSICOLOGIA,NTPC6,Il Carattere è una protezione che creiamo per le seguenti ragioni,Protezione da pericoli reali e immaginari adattamento alle richieste dell'ambiente,Per non diventare grandi e restare nell'età dello sviluppo,Perché siamo sbilanciati verso comportamenti emotivi,,Protezione da pericoli reali e immaginari adattamento alle richieste dell'ambiente
PSICOLOGIA,NTPC7,La divisione del Nervo Vago del SNA della Teoria Polivagale,Simpatico,Ventro Vagale Dorso Vagale e Simpatico,Ventro Vagale e Dorso Vagale,,Ventro Vagale Dorso Vagale e Simpatico
PSICOLOGIA,NTPC8,Le emozioni sono una funzione antica per cui,Il cervello prima di sentire comprende,Il cervello prima di comprendere sente,Il cervello comprende e non deve sentire,,Il cervello prima di comprendere sente
PSICOLOGIA,NTPC9,Perché secondo te abbiamo sottolineato l'importanza del concetto di Messaggi Energetici o Neurologici?,Perché dobbiamo stare attenti a come parliamo pena l'isolamento sociale,☑ Perché esiste una comunicazione di coregolazione sottile di cui essere coscienti che è potente quanto quella manifesta ed è un presidio importante nelle professioni di aiuto,Perché ci aiutano a spiegarci meglio tenendo conto di tante sfumature e concetti,,☑ Perché esiste una comunicazione di coregolazione sottile di cui essere coscienti che è potente quanto quella manifesta ed è un presidio importante nelle professioni di aiuto
PSICOLOGIA,NTPC10,Quali sono gli stati del carattere nel modello che abbiamo utilizzato nelle lezioni?,Abbandonato Invaso Come SE,Abulico dinamico eccentrico,Introverso estroverso neutro,,Abbandonato Invaso Come SE
SICUREZZA SUL LAVORO,NTSL1,Che cosa è l'infortunio in itinere?,Un infortunio che avviene quando il Lavoratore si muove tra i vari reparti della sede aziendale,Un incidente stradale durante il ritorno dal lavoro,Un infortunio che può avvenire nel tragitto per raggiungere o ritornare dal posto di lavoro,,Un infortunio che può avvenire nel tragitto per raggiungere o ritornare dal posto di lavoro
SICUREZZA SUL LAVORO,NTSL2,Che cosa è un infortunio?,Una lesione subita dal Lavoratore in occasione di lavoro per una causa violenta e improvvisa,Un trauma dovuto ad un incidente avvenuto fuori dall'ambito lavorativo,Una malattia che si manifesta dopo vari anni dall'esposizione al rischio da lavoro,,Una lesione subita dal Lavoratore in occasione di lavoro per una causa violenta e improvvisa
SICUREZZA SUL LAVORO,NTSL3,Che cosa è una malattia professionale,È una patologia che si manifesta con violenza durante lo svolgimento dell'attività lavorativa,È una patologia la cui causa agisce lentamente e progressivamente sull'organismo,È un disturbo che obbliga il lavoratore a richiedere un periodo di riposo di almeno un mese,,È una patologia la cui causa agisce lentamente e progressivamente sull'organismo
SICUREZZA SUL LAVORO,NTSL4,Come vengono classificati i Dispositivi di Protezione Individuale (DPI)?,Classe A - Classe B - Classe C,1° Categoria - 2° Categoria - 3° Categoria,Fascia Verde - Fascia Gialla - Fascia Rossa,,1° Categoria - 2° Categoria - 3° Categoria
SICUREZZA SUL LAVORO,NTSL5,Cosa è necessario fare dopo aver effettuato la valutazione dei rischi?,È necessario intraprendere azioni di riduzione dei rischi,Darne comunicazione all'ATS territoriale,La riduzione del rischio non basta è necessario procedere alla totale eliminazione degli stessi,,È necessario intraprendere azioni di riduzione dei rischi
SICUREZZA SUL LAVORO,NTSL6,Cosa si intende per rischio residuo,Rischio non valutato alla fonte,Rischio rimanente a seguito del trattamento del rischio,Rischio non significativo o accettabile,,Rischio rimanente a seguito del trattamento del rischio
SICUREZZA SUL LAVORO,NTSL7,I cartelli segnaletici di avvertimento,Hanno forma rotonda e vietano un'azione,Hanno forma triangolare e segnalano un pericolo,Hanno forma rettangolare e segnalano un rischio,,Hanno forma triangolare e segnalano un pericolo
SICUREZZA SUL LAVORO,NTSL8,I lavoratori che non indossano i DPI sono punibili con,Il declassamento o il cambiamento di mansione,L'arresto fino a un mese o l'ammenda da €. 254 a 737,Il licenziamento immediato,,L'arresto fino a un mese o l'ammenda da €. 254 a 737
SICUREZZA SUL LAVORO,NTSL9,I lavoratori hanno l'obbligo di,Utilizzare in modo appropriato i dispositivi di protezione messi a loro disposizione,Eleggere un loro rappresentante per la sicurezza,Contribuire attivamente alla valutazione dei rischi,,Utilizzare in modo appropriato i dispositivi di protezione messi a loro disposizione
SICUREZZA SUL LAVORO,NTSL10,Il DVR aziendale è,Il Documento di Valutazione del Rendimento dei Lavoratori,Il Documento di Valutazione dei Rischi che comprende obbligatoriamente tutti i rischi identificabili,Un Documento facoltativo che può essere consultato solo dal Datore di Lavoro e dall'RSPP,,Il Documento di Valutazione dei Rischi che comprende obbligatoriamente tutti i rischi identificabili
SICUREZZA SUL LAVORO,NTSL11,Il lavoratore che rilevi un problema di sicurezza deve,Proseguire nell'attività attendendo che il problema venga rilevato e risolto dal Preposto,Segnalarla immediatamente al Datore di Lavoro o al Preposto,Proseguire nell'attività senza preoccuparsi perché è un problema del Datore di Lavoro,,Segnalarla immediatamente al Datore di Lavoro o al Preposto
SICUREZZA SUL LAVORO,NTSL12,Il Medico Competente può rivelare i dati sanitari dei lavoratori?,Solo al Datore di Lavoro,Solo al Rappresentante dei Lavoratori per la sicurezza,Solo all'Autorità Giudiziaria (Magistrato) o agli Ufficiali della ATS e solo per motivi di indagine,,Solo all'Autorità Giudiziaria (Magistrato) o agli Ufficiali della ATS e solo per motivi di indagine
SICUREZZA SUL LAVORO,NTSL13,Il Rappresentante dei Lavoratori per la Sicurezza,Ha l'obbligo di sanzionare i lavoratori che non osservano le misure di sicurezza,Ha l'obbligo di segnalare ai responsabili aziendali i rischi identificati o di cui viene a conoscenza dai lavoratori,Riceve l'incarico dal Datore di Lavoro che lo sceglie tra le persone di propria assoluta fiducia,,Ha l'obbligo di segnalare ai responsabili aziendali i rischi identificati o di cui viene a conoscenza dai lavoratori
SICUREZZA SUL LAVORO,NTSL14,Il rischio è,La possibilità che accada un evento imprevedibile,La capacità di una sostanza pericolosa di fare danno,La combinazione della probabilità e della conseguenza del verificarsi di uno specifico evento dannoso,,La combinazione della probabilità e della conseguenza del verificarsi di uno specifico evento dannoso
SICUREZZA SUL LAVORO,NTSL15,L'informazione sui rischi aziendali è,Una attività che viene svolta solo al momento dell'assunzione in azienda poi è a discrezione del lavoratore,"Facoltativa per il datore di lavoro per i Dirigenti e Preposti, obbligatoria per tutti i Lavoratori",Obbligatoria per tutti Lavoratori che sono tenuti a partecipare agli incontri di informazione,,Obbligatoria per tutti Lavoratori che sono tenuti a partecipare agli incontri di informazione
SICUREZZA SUL LAVORO,NTSL16,La Valutazione del rischio e la redazione del relativo documento sono un obbligo,del Medico Competente,del Datore di Lavoro,dell'R.S.P.P.,,del Datore di Lavoro
SICUREZZA SUL LAVORO,NTSL17,Nella valutazione del rischio incendio cosa è un comburente?,È la condizione energetica necessaria perché la reazione di combustione abbia luogo,È una sostanza che agisce come agente ossidante di un combustibile in una reazione di combustione,È una sostanza naturale o artificiale (solida – liquida – gassosa) capace di infiammarsi organica o inorganica,,È una sostanza che agisce come agente ossidante di un combustibile in una reazione di combustione
SICUREZZA SUL LAVORO,NTSL18,Quale tra i seguenti Enti è Organo di vigilanza e Assistenza in materia di Sicurezza sul Lavoro?,Polizia Provinciale,Polizia Urbana,A.T.S.,,A.T.S.
SICUREZZA SUL LAVORO,NTSL19,Tra i compiti degli addetti alla gestione delle emergenze vi sono,Predisporre il Piano di intervento in caso di incidente rilevante,Allertare il sistema di soccorso,Organizzare l'evacuazione dei luoghi di lavoro,,Allertare il sistema di soccorso
SICUREZZA SUL LAVORO,NTSL20,Tra i compiti del Responsabile del Servizio di Prevenzione e Protezione vi è,Coordinare il Servizio di Prevenzione e Protezione,La vigilanza sul rispetto delle norme da parte dei lavoratori,La valutazione dell'idoneità psicofisica dei Lavoratori,,Coordinare il Servizio di Prevenzione e Protezione
SIMULAZIONE BUSTA A,SIMA1,Le articolazioni fra coste e rachide dorsale sono classificate come,Artrodie ,Sinartrosi ,Enartrosi complesse ,,Sinartrosi 
SIMULAZIONE BUSTA A,SIMA2,La Grande Cavità pelvica si può identificare con lo spazio,Sottostante lo stretto superiore ,Delimitato dalle due anche ,Corrispondente alle fosse iliache interne ,,Delimitato dalle due anche 
SIMULAZIONE BUSTA A,SIMA3,L'osso occipitale è:,Un osso pari e simmetrico ospitante sul versante interno le fosse occipitali ,Un osso impari e mediano ospitante le fosse occipitali e cerebellari ,Un osso impari situato anteriormente e delimitante le cavità orbitarie ,,Un osso impari e mediano ospitante le fosse occipitali e cerebellari 
SIMULAZIONE BUSTA A,SIMA4,La colonna vertebrale presenta le seguenti curve fisiologiche:,Lordosi cervicale  cifosi dorsale  lordosi lombare e cifosi sacro-coccigea ,Lordosi cervicale e toracica  cifosi lombare e lordosi sacro-coccigea ,Cifosi cervicale  lordosi toraco-lombare e cifosi sacro-coccigea ,,Lordosi cervicale  cifosi dorsale  lordosi lombare e cifosi sacro-coccigea 
SIMULAZIONE BUSTA A,SIMA5,Le prominenze ossee apprezzabili al tatto sulla linea mediana posteriore corrispondono a,Processi trasversi delle vertebre ,Processi spinosi delle vertebre ,Processi articolari vertebrali ,,Processi spinosi delle vertebre 
SIMULAZIONE BUSTA A,SIMA6,Quali compiti svolgono fondamentalmente le proteine?,Forniscono energia a pronta e lenta utilizzazione ,Hanno una funzione plastica e bioregolatoria ,Hanno un ruolo costruttivo e di deposito di energia ,,Hanno una funzione plastica e bioregolatoria 
SIMULAZIONE BUSTA A,SIMA7,Quali compiti svolge il duodeno?,Motoria  endocrina  digestiva e di assorbimento ,Motoria e di assorbimento delle unità elementari dei nutrienti ,Motoria  digestiva e di assorbimento ,,Motoria  endocrina  digestiva e di assorbimento 
SIMULAZIONE BUSTA A,SIMA8,Cos'è l'Igiene?,Disciplina che studia la diffusione delle infezioni ,Modalità di trasmissione delle malattie infettive ,Branca della medicina che mira alla tutela della salute collettiva ed individuale attraverso la prevenzione ,,Branca della medicina che mira alla tutela della salute collettiva ed individuale attraverso la prevenzione 
SIMULAZIONE BUSTA A,SIMA9,La disinfezione è definita come:,Insieme di misure attuate per rimuovere fisicamente la sporcizia ,Insieme di misure attuate per ridurre il numero di microrganismi capaci di provocare malattia ,Insieme di misure attuate per distruggere completamente tutte le forme di vita microbica ,,Insieme di misure attuate per ridurre il numero di microrganismi capaci di provocare malattia 
SIMULAZIONE BUSTA A,SIMA10,Cosa sono i guanti?,Dispositivi di protezione individuale ,Dispositivi di prevenzione individuale ,Attrezzature sanitarie ,,Dispositivi di protezione individuale 
SIMULAZIONE BUSTA A,SIMA11,Quanti e quali sono i massaggi?,Sono 5: mass  curativo  terapeutico  olistico  estetico  sportivo,Sono 6: mass  terapeutico  curativo  olistico  estetico  igienico  sportivo,Sono 5: mass  curativo  olistico  sportivo  igienico  estetico,,Sono 5: mass  curativo  olistico  sportivo  igienico  estetico
SIMULAZIONE BUSTA A,SIMA12,Indicare l' utilità dell' impastamento:,Favorisce l'eliminazione dei cataboliti e scioglie le miogelosi ,Diminuzione del tono muscolare con effetti mio-rilassante ,A livello cutaneo determina una risoluzione a stati aderenziali con effetto iperemizzante ,,Diminuzione del tono muscolare con effetti mio-rilassante 
SIMULAZIONE BUSTA A,SIMA13,Lo scuotimento provoca:,Una caduta del tono muscolare e conseguente rilassamento muscolare ,Lo scioglimento delle contratture ,Una tonificazione muscolare ,,Una caduta del tono muscolare e conseguente rilassamento muscolare 
SIMULAZIONE BUSTA A,SIMA14,In caso di impossibilità di effettuare il massaggio causato dal dolore,Continuo a massaggiare fino ad attenuare il dolore ,Prescrivo un antinfiammatorio e lo rivedo in un altro momento ,Interrompo immediatamente la seduta ,,Interrompo immediatamente la seduta 
SIMULAZIONE BUSTA A,SIMA15,Il muscolo estensore breve delle dita:,Estende il 2°  3°  4° e 5° dito del piede,Estende dal 2° al 4° dito del piede,Estende dal 3° al 5° dito del piede,,Estende dal 2° al 4° dito del piede
SIMULAZIONE BUSTA A,SIMA16,Durante un massaggio è consigliato:,Utilizzare olio minerale addizionato con olio essenziale ,Utilizzare olio vegetale addizionato olio essenziale ,Utilizzare olio essenziale ,,Utilizzare olio vegetale addizionato olio essenziale 
SIMULAZIONE BUSTA A,SIMA17,Il punto riflesso del cuore è:,Sulla 3^ articolazione del piede destro,Sulla 4^ articolazione del piede sinistro,Sulla 4^ articolazione del piede destro,,Sulla 4^ articolazione del piede sinistro
SIMULAZIONE BUSTA A,SIMA18,I punti riflessi dell' apparato genitale indiretto si trova:,Sotto il tallone ,Nella zona mediale a livello del malleolo ,Comincia nella zona laterale sotto il malleolo e prosegue in zona mediale ,,Sotto il tallone 
SIMULAZIONE BUSTA A,SIMA19,L'apparato gastrointestinale comincia da:,Piede destro sotto il primo dito con lo stomaco ,Piede sinistro in visione mediale a livello del colon trasverso ,Piede sinistro nella zona plantare interdigitale tra il primo e secondo dito ,,Piede sinistro nella zona plantare interdigitale tra il primo e secondo dito 
SIMULAZIONE BUSTA A,SIMA20,Perchè è importante conoscere il fenomeno della Rifrazione in una seduta di IdroKinesi?,Perchè può incidere con il reale movimento di un corpo in acqua se osservando da un punto esterno ,Non è importante ,Perchè può variare la densità dell'acqua ,,Perchè può incidere con il reale movimento di un corpo in acqua se osservando da un punto esterno 
